ACCX;ACCY;ACCZ;GYROX;GYROY;GYROZ;ANGLX;ANGLY;ANGLZ
0.02;-0.02;1.15;-0.00;0.26;-0.11;-0.02;1.88;-0.81
0.03;-0.02;1.15;-0.23;-0.07;-0.00;-0.05;1.82;-0.81
0.03;-0.02;1.14;0.05;0.07;0.12;-0.07;1.76;-0.80
0.02;-0.02;1.15;0.06;0.17;-0.00;-0.09;1.70;-0.80
0.03;-0.01;1.15;0.06;-0.09;0.09;-0.10;1.64;-0.80
0.03;-0.02;1.15;-0.02;0.45;-0.06;-0.12;1.58;-0.80
0.02;-0.03;1.15;-0.27;-0.22;0.12;-0.15;1.52;-0.80
0.02;-0.02;1.15;-0.27;-0.09;-0.06;-0.17;1.47;-0.80
0.03;-0.02;1.15;0.15;0.26;-0.09;-0.19;1.41;-0.80
0.02;-0.02;1.14;-0.02;0.13;-0.25;-0.21;1.37;-0.81
0.03;-0.03;1.14;0.15;0.91;0.07;-0.23;1.34;-0.81
0.03;-0.02;1.15;-0.37;-0.54;0.20;-0.25;1.27;-0.80
0.02;-0.03;1.16;-0.32;0.39;0.23;-0.28;1.23;-0.80
0.03;-0.02;1.14;0.09;0.00;-0.09;-0.29;1.18;-0.80
0.03;-0.02;1.15;0.35;0.05;-0.23;-0.30;1.13;-0.81
0.03;-0.03;1.14;0.11;-0.29;-0.03;-0.32;1.08;-0.81
0.03;-0.03;1.16;0.14;0.00;0.23;-0.33;1.03;-0.80
0.03;-0.02;1.15;-0.18;-0.27;-0.20;-0.35;0.98;-0.81
0.02;-0.02;1.14;-0.24;-0.06;-0.06;-0.38;0.93;-0.81
0.02;-0.02;1.15;0.03;-0.21;0.09;-0.38;0.89;-0.81
0.03;-0.03;1.14;0.03;-0.01;0.03;-0.40;0.84;-0.80
0.02;-0.02;1.15;0.15;-0.30;-0.14;-0.41;0.80;-0.81
0.03;-0.02;1.15;-0.23;0.39;0.32;-0.42;0.76;-0.80
0.03;-0.02;1.15;0.38;-0.10;0.15;-0.43;0.71;-0.80
0.03;-0.02;1.14;-0.03;-0.09;-0.25;-0.44;0.67;-0.80
0.02;-0.02;1.14;-0.00;-0.15;-0.00;-0.45;0.63;-0.80
0.03;-0.02;1.15;-0.00;0.25;0.01;-0.47;0.60;-0.80
0.03;-0.02;1.15;0.12;0.39;-0.34;-0.47;0.58;-0.82
0.03;-0.02;1.15;-0.05;-0.30;0.35;-0.49;0.53;-0.81
0.03;-0.02;1.14;-0.18;0.02;-0.17;-0.50;0.50;-0.81
0.02;-0.02;1.15;-0.02;-0.15;-0.20;-0.52;0.46;-0.82
0.02;-0.02;1.15;-0.37;0.19;-0.41;-0.54;0.43;-0.83
0.03;-0.02;1.15;-0.27;0.11;-0.35;-0.56;0.40;-0.84
0.03;-0.02;1.15;0.06;-0.15;0.15;-0.57;0.36;-0.83
0.02;-0.02;1.15;-0.09;-0.33;0.30;-0.58;0.32;-0.83
0.02;-0.02;1.14;0.03;-0.18;-0.03;-0.59;0.29;-0.83
0.03;-0.02;1.15;0.15;-0.21;-0.23;-0.59;0.25;-0.83
0.02;-0.03;1.15;-0.32;-0.09;-0.29;-0.61;0.23;-0.84
0.02;-0.02;1.15;0.20;-0.22;-0.20;-0.62;0.20;-0.85
0.03;-0.02;1.15;0.49;-0.32;0.17;-0.61;0.16;-0.84
0.02;-0.02;1.15;-0.06;0.00;-0.26;-0.62;0.13;-0.85
0.03;-0.02;1.15;-0.21;0.19;-0.14;-0.64;0.11;-0.85
0.03;-0.02;1.14;-0.12;-0.19;0.49;-0.65;0.07;-0.84
0.02;-0.02;1.15;0.11;-0.06;0.24;-0.65;0.04;-0.83
0.02;-0.03;1.15;0.31;0.26;-0.31;-0.66;0.03;-0.84
0.03;-0.02;1.14;0.23;-0.06;0.10;-0.66;-0.00;-0.84
0.02;-0.02;1.15;0.02;0.17;-0.05;-0.67;-0.02;-0.84
0.03;-0.02;1.15;0.09;0.20;-0.05;-0.67;-0.04;-0.84
0.03;-0.02;1.15;-0.14;-0.04;0.23;-0.68;-0.07;-0.84
0.02;-0.03;1.15;-0.02;0.46;0.26;-0.69;-0.07;-0.83
0.02;-0.03;1.15;-0.20;0.36;0.10;-0.72;-0.08;-0.83
0.03;-0.02;1.14;-0.08;-0.16;-0.08;-0.73;-0.12;-0.83
0.03;-0.02;1.15;-0.06;0.04;0.01;-0.74;-0.14;-0.83
0.02;-0.02;1.15;-0.00;0.34;0.07;-0.74;-0.16;-0.83
0.03;-0.02;1.15;-0.03;1.06;0.15;-0.75;-0.16;-0.82
0.03;-0.02;1.15;0.09;0.92;0.04;-0.75;-0.16;-0.82
0.03;-0.02;1.14;-0.40;-0.65;0.24;-0.77;-0.21;-0.82
0.02;-0.02;1.16;0.08;0.57;0.17;-0.77;-0.21;-0.81
0.03;-0.02;1.16;-0.37;-1.19;0.09;-0.79;-0.26;-0.81
0.02;-0.03;1.14;0.06;-0.16;0.03;-0.80;-0.28;-0.81
0.03;-0.02;1.15;-0.21;0.48;-0.02;-0.81;-0.28;-0.81
0.01;-0.03;1.15;-0.00;-0.19;0.10;-0.82;-0.30;-0.81
0.02;-0.02;1.16;0.02;-0.32;0.12;-0.82;-0.32;-0.80
0.03;-0.02;1.15;-0.31;-0.25;-0.16;-0.83;-0.35;-0.81
0.03;-0.02;1.15;-0.29;0.31;0.04;-0.85;-0.37;-0.81
0.02;-0.02;1.14;-0.12;-0.16;0.09;-0.85;-0.39;-0.80
0.03;-0.03;1.14;-0.12;-0.10;-0.17;-0.86;-0.41;-0.81
0.03;-0.02;1.15;-0.18;0.00;-0.02;-0.87;-0.43;-0.81
0.02;-0.02;1.14;0.24;0.33;0.07;-0.87;-0.44;-0.81
0.03;-0.02;1.15;0.12;-0.18;0.01;-0.87;-0.46;-0.81
0.03;-0.02;1.14;0.03;-0.16;0.39;-0.87;-0.48;-0.80
0.03;-0.02;1.15;-0.21;0.26;0.24;-0.88;-0.49;-0.79
0.03;-0.02;1.15;-0.08;-0.22;-0.48;-0.89;-0.51;-0.80
0.02;-0.02;1.15;0.05;0.16;-0.34;-0.89;-0.52;-0.81
0.03;-0.02;1.15;0.12;0.00;-0.20;-0.89;-0.54;-0.82
0.03;-0.02;1.14;0.31;0.14;0.04;-0.89;-0.55;-0.81
0.02;-0.02;1.15;0.26;-0.16;-0.16;-0.88;-0.57;-0.82
0.03;-0.02;1.15;-0.38;-0.21;0.33;-0.89;-0.59;-0.81
0.02;-0.02;1.15;-0.27;-0.30;0.10;-0.90;-0.61;-0.81
0.02;-0.02;1.14;0.03;0.23;0.24;-0.90;-0.61;-0.80
0.03;-0.02;1.15;0.46;0.55;-0.11;-0.88;-0.61;-0.81
0.00;-0.01;1.15;1.65;1.18;37.66;-0.83;-0.57;0.21
-0.02;-0.09;1.14;0.78;-0.93;15.45;-0.88;-0.56;0.63
0.03;-0.02;1.14;0.34;-0.93;4.32;-0.87;-0.60;0.74
0.04;-0.03;1.15;0.09;0.33;3.05;-0.89;-0.61;0.89
0.03;-0.02;1.15;-0.52;0.88;0.15;-0.90;-0.60;0.89
0.02;-0.02;1.15;-0.26;1.18;-0.03;-0.91;-0.57;0.89
0.03;-0.02;1.15;0.34;0.89;-0.60;-0.91;-0.57;0.87
0.03;-0.02;1.14;0.06;-0.88;-0.08;-0.91;-0.61;0.87
0.03;-0.03;1.15;-0.11;-0.13;0.12;-0.92;-0.63;0.88
0.03;-0.02;1.15;0.15;-0.38;0.26;-0.92;-0.66;0.88
0.03;-0.03;1.14;0.38;0.25;0.04;-0.92;-0.66;0.88
0.03;-0.02;1.14;0.21;-0.35;-0.38;-0.91;-0.69;0.87
0.02;-0.02;1.14;-0.00;-0.24;-0.02;-0.91;-0.70;0.87
-0.05;0.02;1.14;1.37;1.64;34.97;-0.83;-0.60;1.82
0.06;-0.02;1.15;1.42;0.08;41.51;-0.80;-0.65;2.90
0.03;-0.02;1.16;1.45;-1.20;44.53;-0.76;-0.70;4.14
0.00;-0.01;1.18;1.30;-1.38;45.23;-0.72;-0.72;5.37
0.03;0.00;1.14;1.98;0.13;70.03;-0.65;-0.74;7.19
0.03;0.02;1.15;4.78;-0.38;114.17;-0.49;-0.76;10.27
0.10;-0.07;1.14;5.10;0.04;167.05;-0.39;-0.85;15.45
0.06;-0.00;1.12;6.43;-0.45;182.70;-0.22;-0.90;20.20
0.02;0.02;1.15;7.27;-1.37;181.68;-0.01;-0.93;25.10
-0.00;0.03;1.13;7.86;-0.53;198.53;0.23;-0.93;30.46
0.04;0.10;1.15;9.11;-0.33;230.73;0.55;-0.95;36.46
0.04;0.03;1.19;10.40;-0.25;262.44;0.84;-0.98;43.55
-0.07;0.01;1.23;11.16;-4.09;257.51;1.13;-1.01;50.50
-0.05;-0.01;1.13;11.30;-6.90;279.54;1.39;-1.12;58.05
-0.14;0.07;1.37;11.94;-8.04;309.05;1.73;-1.20;66.39
-0.10;0.08;1.17;11.63;-0.10;309.00;2.08;-1.09;74.74
0.04;-0.07;1.08;12.18;-1.38;312.67;2.32;-1.15;84.12
0.13;-0.10;1.08;12.35;-0.16;295.91;2.52;-1.25;92.40
0.13;-0.04;0.95;12.11;-1.52;283.98;2.74;-1.42;99.78
0.00;0.01;1.21;10.72;-3.69;288.32;2.98;-1.49;107.57
-0.01;0.00;1.15;13.21;-2.24;308.44;3.28;-1.51;116.21
-0.18;-0.01;1.37;13.44;-12.01;318.18;3.55;-1.64;124.48
0.07;-0.01;1.05;12.02;-3.75;302.87;3.78;-1.79;132.66
-0.00;-0.02;1.03;14.26;3.41;288.50;4.06;-1.66;140.45
-0.02;-0.03;1.26;8.76;-4.97;234.38;4.18;-1.74;146.54
0.04;-0.11;1.08;9.33;-4.35;238.15;4.27;-1.88;153.92
0.02;-0.01;1.23;9.07;-4.71;241.25;4.40;-1.97;160.19
0.20;-0.04;0.96;7.88;-7.45;224.44;4.47;-2.35;166.03
-0.10;-0.04;1.23;8.23;-4.85;199.92;4.57;-2.34;171.43
-0.08;-0.00;1.08;8.44;1.12;200.64;4.69;-2.19;176.64
0.11;-0.05;1.19;6.64;-2.42;181.48;4.73;-2.31;181.54
0.09;-0.10;1.08;4.79;4.31;147.89;4.66;-2.24;185.54
0.02;-0.04;1.20;4.24;-1.86;108.55;4.63;-2.26;188.36
0.02;-0.06;1.11;2.64;2.43;57.60;4.56;-2.16;189.97
-0.01;-0.05;1.19;1.10;-0.09;42.06;4.44;-2.12;191.11
0.01;-0.04;1.14;1.04;0.42;10.20;4.35;-2.08;191.41
-0.01;-0.04;1.15;-0.27;-1.61;-0.12;4.21;-2.07;191.41
0.03;-0.03;1.15;-0.11;-0.41;0.17;4.09;-2.06;191.41
0.03;-0.03;1.15;-0.35;0.08;0.03;3.98;-2.05;191.42
0.06;-0.03;1.15;-0.47;-1.31;-6.63;3.85;-2.11;191.24
0.03;0.00;1.15;-0.95;1.35;-19.47;3.75;-2.06;190.71
0.04;-0.02;1.18;-2.98;0.42;-68.41;3.58;-2.05;188.86
0.05;-0.10;1.12;-3.83;7.53;-141.53;3.31;-1.85;184.90
0.19;-0.08;0.73;-30.79;-22.45;-258.12;2.35;-2.65;178.19
0.02;0.02;1.05;-8.46;0.29;-209.32;2.10;-2.62;172.33
0.05;0.00;1.26;-7.08;-5.64;-149.48;1.85;-2.77;167.84
0.11;-0.03;1.17;-2.31;3.81;-46.66;1.73;-2.73;166.63
0.02;-0.02;1.17;-0.46;-2.07;-0.12;1.67;-2.75;166.63
0.04;-0.03;1.14;0.31;0.91;-0.09;1.62;-2.68;166.62
0.05;-0.02;1.13;-0.06;1.59;-0.03;1.56;-2.63;166.62
0.03;-0.02;1.14;-0.03;0.77;-0.31;1.51;-2.59;166.61
0.04;-0.01;1.14;0.37;0.39;-0.02;1.49;-2.57;166.61
0.02;-0.05;1.14;-0.18;0.98;6.30;1.40;-2.51;166.78
0.02;-0.03;1.15;-0.40;-0.25;0.62;1.34;-2.49;166.80
0.03;-0.02;1.14;-0.12;0.34;0.71;1.29;-2.46;166.82
0.03;-0.03;1.14;-1.27;-1.49;-13.91;1.19;-2.48;166.39
0.03;-0.01;1.21;-1.98;-2.18;-19.90;1.11;-2.51;165.87
0.05;-0.01;1.15;0.09;1.81;-5.42;1.08;-2.46;165.72
0.03;-0.02;1.14;0.02;0.69;-2.23;1.04;-2.42;165.66
0.04;-0.30;1.12;-1.16;-1.45;-6.35;0.69;-2.45;165.50
0.33;-0.26;0.78;-2.35;5.71;-63.76;0.36;-2.60;163.78
0.05;-0.09;1.04;-5.98;4.16;-152.14;0.11;-2.49;159.82
0.01;-0.16;1.22;-5.65;-2.73;-119.29;-0.20;-2.52;156.48
-0.06;-0.11;1.22;-6.64;8.55;-228.28;-0.47;-2.19;150.32
0.06;-0.21;1.16;-9.08;9.82;-352.71;-1.02;-1.80;135.86
-0.03;-0.14;1.10;-12.27;1.64;-418.52;-1.45;-1.69;124.98
-0.25;0.02;1.16;-14.35;-0.41;-420.86;-1.79;-1.43;113.61
-0.01;-0.04;1.15;-14.66;2.95;-401.19;-2.18;-1.31;102.78
