ACCX;ACCY;ACCZ;GYROX;GYROY;GYROZ;ANGLX;ANGLY;ANGLZ
0.03;-0.02;1.14;-0.07;-0.01;0.05;-0.54;-0.10;0.39
0.03;-0.03;1.15;-0.09;-0.24;-0.28;-0.55;-0.13;0.38
0.03;-0.02;1.15;0.46;-0.09;0.05;-0.55;-0.16;0.38
0.03;-0.03;1.14;-0.10;-0.32;0.01;-0.57;-0.19;0.38
0.03;-0.02;1.13;-0.09;0.07;-0.12;-0.58;-0.21;0.38
0.03;-0.02;1.15;-0.01;0.10;-0.31;-0.59;-0.23;0.37
0.02;-0.02;1.15;0.04;-0.48;0.21;-0.59;-0.26;0.37
0.03;-0.02;1.14;-0.16;0.14;-0.15;-0.61;-0.28;0.37
0.03;-0.02;1.15;-0.06;0.25;0.37;-0.62;-0.30;0.38
0.03;-0.02;1.15;0.14;0.36;-0.18;-0.62;-0.32;0.38
0.02;-0.02;1.14;0.23;0.33;0.25;-0.62;-0.32;0.38
0.03;-0.03;1.15;0.16;0.22;-0.27;-0.63;-0.34;0.38
0.03;-0.02;1.15;0.01;-0.04;-0.21;-0.64;-0.36;0.37
0.03;-0.03;1.14;0.07;0.23;0.10;-0.65;-0.38;0.37
0.02;-0.02;1.15;0.02;0.02;-0.01;-0.65;-0.39;0.37
0.02;-0.03;1.15;-0.15;-0.45;0.14;-0.67;-0.42;0.38
0.02;-0.02;1.15;-0.15;-0.19;0.24;-0.68;-0.44;0.38
0.03;-0.02;1.15;0.30;0.11;-0.21;-0.68;-0.45;0.38
0.02;-0.03;1.14;-0.19;0.33;0.28;-0.70;-0.46;0.38
0.02;-0.02;1.14;0.08;0.22;0.21;-0.71;-0.46;0.39
0.03;-0.02;1.14;0.05;0.55;0.04;-0.71;-0.46;0.39
0.03;-0.02;1.13;0.01;-0.09;0.21;-0.72;-0.48;0.40
0.03;-0.02;1.16;-0.22;0.00;0.10;-0.73;-0.50;0.40
0.02;-0.03;1.14;-0.09;-0.13;0.05;-0.74;-0.51;0.40
0.02;-0.03;1.16;-0.22;-0.27;-0.02;-0.76;-0.53;0.40
0.02;-0.02;1.14;-0.13;-0.01;-0.04;-0.77;-0.55;0.40
0.03;-0.02;1.15;-0.36;-0.01;0.13;-0.78;-0.56;0.40
0.03;-0.03;1.15;-0.27;-0.24;0.22;-0.80;-0.59;0.41
0.02;-0.02;1.14;0.23;0.11;0.46;-0.80;-0.59;0.42
0.03;-0.02;1.16;0.02;0.17;0.19;-0.80;-0.61;0.42
0.02;-0.02;1.15;-0.18;0.19;0.08;-0.81;-0.61;0.42
0.03;-0.02;1.15;-0.24;0.05;-0.07;-0.83;-0.62;0.42
0.03;-0.02;1.14;0.13;-0.12;-0.13;-0.82;-0.64;0.42
0.02;-0.03;1.15;0.37;2.02;-0.16;-0.82;-0.60;0.42
0.03;-0.03;1.15;0.11;1.99;-0.05;-0.83;-0.57;0.41
0.03;-0.02;1.15;-0.39;-0.65;-0.04;-0.84;-0.61;0.41
0.03;-0.03;1.15;0.04;-0.07;-0.09;-0.85;-0.63;0.41
0.03;-0.03;1.15;-0.06;0.02;-0.25;-0.86;-0.64;0.40
0.03;-0.02;1.15;-0.21;-0.18;-0.05;-0.87;-0.65;0.40
0.01;-0.02;1.17;0.11;1.53;-0.13;-0.87;-0.61;0.40
0.01;-0.03;1.15;0.28;-0.45;-0.28;-0.87;-0.63;0.39
0.03;-0.03;1.13;0.01;0.20;-0.07;-0.88;-0.64;0.39
0.04;-0.03;1.13;-0.16;0.02;0.25;-0.89;-0.66;0.40
0.03;-0.03;1.15;-0.18;-0.16;0.07;-0.90;-0.68;0.40
0.02;-0.02;1.14;-0.01;0.49;-0.10;-0.91;-0.68;0.40
0.03;-0.02;1.14;-0.12;-0.42;-0.04;-0.92;-0.70;0.40
0.02;-0.03;1.14;-0.28;0.03;0.22;-0.93;-0.71;0.40
0.03;-0.03;1.15;-0.15;0.11;0.16;-0.94;-0.71;0.40
0.02;-0.02;1.14;0.25;-0.55;-0.02;-0.93;-0.75;0.40
0.03;-0.02;1.14;-0.03;-0.16;0.19;-0.94;-0.76;0.41
0.03;-0.02;1.15;-0.01;0.19;0.10;-0.94;-0.77;0.41
0.03;-0.03;1.14;-0.04;0.03;-0.38;-0.95;-0.78;0.40
0.03;-0.02;1.15;0.31;-0.33;0.27;-0.94;-0.80;0.41
0.02;-0.02;1.15;0.25;0.20;-0.09;-0.93;-0.80;0.41
0.03;-0.03;1.14;-0.09;0.72;0.25;-0.94;-0.80;0.41
0.02;-0.02;1.14;-0.25;-0.12;0.21;-0.95;-0.81;0.42
0.03;-0.02;1.14;0.71;0.97;0.50;-0.94;-0.79;0.43
0.03;-0.02;1.15;1.10;-1.55;27.52;-0.91;-0.84;1.12
0.02;-0.04;1.13;0.13;-3.38;11.00;-0.93;-0.93;1.38
0.03;-0.03;1.14;0.34;0.65;0.33;-0.93;-0.92;1.39
0.02;-0.02;1.13;-0.38;-0.91;0.01;-0.94;-0.95;1.39
0.03;0.06;1.13;-0.15;-1.90;1.03;-0.87;-1.01;1.41
0.01;0.17;1.16;0.49;1.58;4.95;-0.68;-0.96;1.54
-0.06;0.29;1.15;-0.10;-0.59;0.14;-0.40;-0.91;1.54
-0.06;0.52;1.17;0.71;-2.51;14.50;0.08;-0.91;1.89
0.03;0.39;1.18;2.46;1.10;44.07;0.49;-0.88;2.99
0.35;0.37;1.02;1.50;-0.56;21.75;0.82;-1.16;3.51
-0.05;0.39;1.15;3.62;-2.80;44.27;1.25;-1.17;4.62
0.05;0.37;1.12;2.02;-0.18;38.75;1.62;-1.19;5.55
0.05;0.24;1.16;1.35;2.72;-1.21;1.85;-1.14;5.52
-0.04;0.19;1.13;2.57;3.71;-1.78;2.06;-1.00;5.48
-0.09;0.14;1.17;1.82;0.08;32.25;2.19;-0.90;6.38
0.03;-0.03;1.20;4.37;1.84;60.60;2.23;-0.87;7.90
0.14;-0.08;1.15;3.15;4.40;59.82;2.18;-0.87;9.27
0.10;-0.13;1.20;2.26;1.85;24.86;2.08;-0.90;9.87
0.12;-0.25;1.20;0.30;-0.74;-29.21;1.84;-0.99;9.17
0.08;-0.27;1.09;-3.72;-2.35;-89.98;1.45;-1.09;6.92
-0.02;-0.20;1.13;-2.38;0.14;-80.04;1.17;-1.05;5.00
-0.07;-0.30;1.16;-1.32;1.27;-57.72;0.84;-0.95;3.55
-0.09;-0.28;1.11;-3.06;2.91;-58.67;0.49;-0.78;2.09
-0.15;-0.25;1.12;-1.64;-0.09;-12.88;0.22;-0.65;1.78
0.01;-0.24;1.08;3.88;-1.71;74.34;0.10;-0.70;4.60
0.03;-0.30;1.24;4.65;0.43;92.17;-0.04;-0.70;7.09
0.10;-0.27;1.13;1.56;-1.20;34.54;-0.25;-0.80;7.99
0.05;-0.21;1.10;-2.50;5.91;-30.44;-0.52;-0.66;7.17
0.07;-0.21;1.09;-0.48;3.53;-9.84;-0.73;-0.61;6.89
0.04;-0.20;1.12;-0.74;1.30;-19.50;-0.93;-0.60;6.39
-0.03;-0.21;1.15;-1.55;-1.48;-27.41;-1.15;-0.60;5.65
0.01;-0.02;1.16;0.14;0.29;0.08;-1.14;-0.59;5.65
0.03;-0.02;1.14;-0.15;-0.36;-0.39;-1.14;-0.61;5.64
