ACCX;ACCY;ACCZ;GYROX;GYROY;GYROZ
0.05;-0.02;1.14;-1.47;1.07;-2.31
0.05;-0.02;1.15;-0.95;0.81;-2.50
0.06;-0.02;1.15;-0.89;0.98;-2.32
0.06;-0.01;1.14;-1.21;0.99;-2.09
0.05;-0.02;1.15;-1.25;1.10;-2.23
0.05;-0.02;1.15;-1.22;0.99;-2.05
0.05;-0.02;1.14;-0.98;0.61;-2.29
0.06;-0.01;1.14;-1.08;1.40;-2.20
0.05;-0.02;1.15;-1.02;0.82;-2.29
0.05;-0.02;1.14;-0.76;1.19;-2.61
0.05;-0.02;1.14;-1.18;1.28;-2.20
0.06;-0.02;1.15;-1.11;0.96;-2.41
0.06;-0.02;1.14;-1.50;1.21;-2.29
0.06;-0.01;1.14;-0.89;1.05;-2.46
0.05;-0.02;1.14;-1.22;0.69;-2.35
0.06;-0.02;1.14;-1.19;0.90;-2.35
0.05;-0.02;1.13;-1.07;0.81;-2.23
0.05;-0.01;1.15;-1.36;0.78;-2.03
0.05;-0.02;1.15;-1.18;0.79;-2.63
0.06;-0.02;1.14;-0.95;0.90;-2.32
0.06;-0.02;1.13;-0.95;0.82;-2.50
0.05;-0.01;1.13;-1.15;1.02;-2.31
0.06;-0.02;1.12;-1.16;0.93;-2.38
0.06;-0.02;1.14;-1.15;1.24;-2.61
0.06;-0.02;1.15;-1.08;0.82;-2.52
0.06;-0.02;1.14;-1.34;0.96;-2.32
0.05;-0.01;1.14;-1.10;0.67;-2.12
0.06;-0.02;1.15;-0.98;1.16;-2.37
0.05;-0.01;1.14;-1.47;0.79;-2.29
0.05;-0.02;1.14;-1.16;0.66;-2.50
0.06;-0.02;1.15;-1.10;1.01;-2.18
0.05;-0.02;1.15;-1.22;0.75;-2.64
0.06;-0.02;1.14;-1.34;0.78;-1.98
0.05;-0.02;1.15;-1.37;0.90;-2.52
0.05;-0.02;1.15;-0.89;0.95;-2.38
0.05;-0.01;1.14;-1.19;1.02;-2.20
0.06;-0.02;1.14;-1.25;1.48;-2.72
0.05;-0.01;1.14;-0.99;1.24;-2.23
0.05;-0.02;1.14;-1.21;1.30;-2.52
0.05;-0.02;1.15;-1.08;0.99;-2.35
0.06;-0.02;1.15;-1.04;0.75;-2.69
0.05;-0.02;1.15;-0.96;1.21;-2.46
