ACCX;ACCY;ACCZ;GYROX;GYROY;GYROZ;ANGLX;ANGLY;ANGLZ
0.03;-0.02;1.15;0.18;-0.05;0.10;1.25;-0.37;0.71
0.03;-0.03;1.14;0.24;-0.12;-0.10;1.20;-0.40;0.71
0.03;-0.02;1.15;-0.45;-0.00;-0.01;1.15;-0.42;0.71
0.02;-0.02;1.14;0.10;0.14;0.02;1.11;-0.43;0.71
0.03;-0.02;1.15;0.18;-0.09;0.19;1.07;-0.45;0.72
0.02;-0.02;1.15;0.08;0.26;0.02;1.04;-0.46;0.72
0.03;-0.02;1.14;0.02;-0.03;-0.07;1.00;-0.48;0.71
0.03;-0.02;1.16;-0.08;0.03;0.22;0.95;-0.50;0.72
0.03;-0.03;1.15;0.33;-0.14;0.05;0.91;-0.52;0.72
0.02;-0.02;1.15;0.14;0.43;-0.07;0.88;-0.52;0.72
0.02;-0.02;1.14;-0.13;0.14;0.02;0.83;-0.53;0.72
0.02;-0.02;1.15;-0.07;-0.17;-0.03;0.80;-0.55;0.72
0.03;-0.02;1.15;0.19;-0.17;-0.06;0.77;-0.57;0.72
0.03;-0.03;1.15;-0.24;0.14;-0.21;0.72;-0.58;0.71
0.03;-0.02;1.15;-0.08;-0.11;0.37;0.68;-0.60;0.72
0.02;-0.02;1.15;0.11;-0.43;0.13;0.65;-0.62;0.73
0.03;-0.02;1.15;0.08;0.35;-0.09;0.62;-0.63;0.72
0.03;-0.02;1.14;-0.13;-0.12;-0.04;0.58;-0.64;0.72
0.03;-0.02;1.14;0.22;-0.26;0.34;0.56;-0.66;0.73
0.03;-0.02;1.14;-0.13;-0.15;-0.09;0.52;-0.68;0.73
0.03;-0.02;1.15;-0.22;-0.03;0.04;0.48;-0.70;0.73
0.03;-0.02;1.14;-0.24;-0.14;-0.41;0.45;-0.72;0.72
0.02;-0.02;1.15;0.01;0.04;0.11;0.42;-0.73;0.72
0.02;-0.01;1.15;0.07;0.20;-0.03;0.40;-0.73;0.72
0.02;-0.03;1.14;-0.05;0.12;0.10;0.36;-0.74;0.72
0.02;-0.02;1.15;-0.10;-0.12;0.17;0.33;-0.75;0.73
0.02;-0.02;1.14;-0.05;-0.11;-0.10;0.30;-0.76;0.73
0.03;-0.03;1.15;-0.30;0.01;0.11;0.27;-0.77;0.73
0.03;-0.02;1.15;0.13;-0.12;-0.10;0.24;-0.78;0.73
0.03;-0.03;1.14;0.11;-0.20;-0.36;0.21;-0.81;0.72
0.03;-0.02;1.15;0.07;-0.05;0.20;0.19;-0.82;0.72
0.02;-0.02;1.14;-0.16;-0.34;0.10;0.16;-0.83;0.73
0.02;-0.02;1.15;0.13;-0.19;0.23;0.14;-0.85;0.73
0.02;-0.02;1.14;-0.28;0.07;-0.53;0.11;-0.85;0.72
0.03;-0.02;1.15;-0.07;0.55;-0.21;0.08;-0.85;0.71
0.03;-0.02;1.14;0.02;-0.19;-0.22;0.06;-0.86;0.71
0.02;-0.02;1.15;0.07;-0.15;0.22;0.04;-0.87;0.71
0.02;-0.02;1.15;-0.07;0.26;-0.12;0.02;-0.87;0.71
0.03;-0.02;1.14;-0.01;0.03;0.01;-0.01;-0.89;0.71
0.03;-0.02;1.15;-0.10;-0.09;0.08;-0.03;-0.90;0.71
0.03;-0.02;1.15;-0.05;0.14;0.17;-0.05;-0.91;0.72
0.02;-0.02;1.15;-0.01;0.23;-0.33;-0.07;-0.90;0.71
0.03;-0.02;1.15;-0.16;0.27;-0.19;-0.09;-0.91;0.70
0.03;-0.02;1.15;-0.15;0.20;-0.21;-0.11;-0.91;0.70
0.02;-0.02;1.15;-0.01;0.30;0.33;-0.13;-0.91;0.70
0.02;-0.03;1.15;-0.21;-0.25;0.04;-0.16;-0.92;0.71
0.02;-0.02;1.15;0.11;-0.02;0.23;-0.17;-0.92;0.71
0.03;-0.02;1.15;0.01;0.29;-0.28;-0.19;-0.93;0.70
0.03;-0.02;1.15;-0.02;0.46;0.08;-0.20;-0.93;0.71
0.03;-0.02;1.15;-0.30;0.06;-0.19;-0.22;-0.94;0.70
0.03;-0.02;1.14;0.13;-0.17;0.07;-0.24;-0.95;0.70
0.03;-0.03;1.15;0.13;-0.29;0.05;-0.26;-0.96;0.70
0.03;-0.02;1.15;0.18;-0.20;-0.15;-0.27;-0.97;0.70
0.03;-0.02;1.15;-0.01;0.09;-0.01;-0.28;-0.98;0.70
0.02;-0.03;1.14;0.28;0.09;0.28;-0.29;-0.98;0.71
0.02;-0.03;1.14;0.07;0.10;-0.01;-0.31;-0.98;0.71
0.02;-0.02;1.15;-0.22;0.33;0.40;-0.33;-0.98;0.72
0.03;-0.03;1.15;-0.08;-0.14;0.19;-0.35;-0.99;0.72
0.03;-0.02;1.15;-0.02;0.01;-0.07;-0.37;-1.00;0.72
0.03;-0.02;1.14;-0.04;0.09;0.04;-0.39;-1.01;0.72
0.03;-0.02;1.15;-0.07;0.14;-0.03;-0.40;-1.01;0.72
0.03;-0.02;1.14;0.18;0.27;-0.06;-0.41;-1.02;0.72
0.03;-0.02;1.15;-0.08;-0.37;0.28;-0.42;-1.03;0.73
0.03;-0.02;1.14;0.14;-0.46;-0.01;-0.43;-1.05;0.73
0.01;-0.02;1.16;-0.36;-0.05;-0.39;-0.45;-1.04;0.72
0.03;-0.02;1.13;-0.07;-0.34;0.16;-0.46;-1.06;0.72
0.03;-0.02;1.14;-0.05;-0.17;0.07;-0.47;-1.07;0.72
0.03;-0.02;1.14;-0.08;0.30;0.20;-0.48;-1.07;0.73
0.03;-0.02;1.14;-0.05;-0.14;-0.28;-0.50;-1.08;0.72
0.03;-0.03;1.15;0.37;0.01;0.22;-0.50;-1.09;0.72
0.02;-0.02;1.16;-0.31;-1.04;0.20;-0.52;-1.11;0.73
0.03;-0.02;1.15;-0.15;-0.25;-0.21;-0.54;-1.12;0.72
0.02;-0.02;1.15;-0.25;-0.90;0.16;-0.55;-1.14;0.73
0.02;-0.02;1.14;-0.30;-0.28;-0.01;-0.57;-1.14;0.73
0.03;-0.02;1.14;-0.66;-2.14;0.05;-0.60;-1.21;0.73
0.03;-0.05;1.15;-5.99;-13.44;-1.06;-0.77;-1.53;0.70
-0.01;-0.01;1.17;-14.30;-1.10;-11.41;-1.12;-1.51;0.42
0.02;-0.00;1.18;-16.73;-14.96;-15.83;-1.49;-1.85;0.04
0.04;-0.04;1.27;-15.38;-33.94;0.94;-2.22;-3.44;0.08
-0.01;-0.04;1.03;-10.24;-39.33;5.85;-2.48;-4.37;0.24
0.05;-0.02;1.13;-8.94;33.66;6.16;-2.68;-3.51;0.39
0.07;-0.10;1.05;-6.91;-22.54;-9.89;-2.98;-4.35;0.01
0.08;-0.09;1.02;-3.40;78.93;-62.03;-3.10;-2.33;-1.60
0.03;0.05;1.31;-3.73;-19.53;-10.47;-3.09;-2.83;-1.88
0.02;-0.03;1.17;-3.40;4.32;-8.71;-3.15;-2.67;-2.13
0.02;-0.03;1.11;-2.97;19.14;-22.64;-3.19;-2.15;-2.71
0.06;-0.00;1.16;-8.56;-0.70;-9.22;-3.36;-2.19;-2.96
0.02;-0.07;1.13;-24.31;2.29;-20.83;-4.00;-2.10;-3.53
0.02;0.00;1.20;-27.76;9.43;-20.94;-4.65;-1.83;-4.09
0.08;-0.08;1.15;-26.86;-24.99;5.24;-5.35;-2.53;-3.95
0.04;-0.07;1.01;-19.53;-6.09;-29.90;-5.89;-2.71;-4.85
0.01;-0.07;1.21;-17.92;-27.09;-9.58;-6.33;-3.41;-5.11
0.12;-0.10;1.05;-21.98;-23.12;-5.22;-6.88;-4.07;-5.26
0.07;-0.09;1.17;-22.11;-23.21;3.64;-7.39;-4.64;-5.16
0.01;-0.12;1.08;-23.34;4.01;-11.96;-7.99;-4.45;-5.48
0.07;-0.10;1.11;-19.03;20.44;-7.60;-8.42;-3.89;-5.69
0.14;-0.11;1.21;-15.58;2.12;-4.48;-8.76;-3.88;-5.81
0.15;-0.15;1.26;-6.48;-86.37;0.91;-8.88;-6.21;-5.79
-0.12;-0.01;1.17;-7.87;-80.49;2.49;-8.92;-8.01;-5.72
0.14;-0.08;1.16;-1.11;-108.52;32.78;-8.84;-10.96;-4.80
0.19;-0.13;1.16;-27.73;-181.09;25.30;-9.61;-16.40;-4.02
0.12;-0.17;1.24;-9.72;-261.96;36.22;-9.81;-22.85;-3.08
0.24;-0.11;1.37;-6.56;-318.34;30.92;-9.86;-31.00;-2.24
0.33;-0.21;1.16;-4.28;-501.25;8.20;-9.94;-43.92;-2.02
0.21;-0.19;0.98;20.13;-493.82;30.08;-9.41;-55.83;-1.24
0.41;-0.14;1.23;46.97;-498.69;52.54;-8.03;-68.73;0.23
0.60;0.01;0.58;21.50;-501.25;-7.55;-7.29;-81.53;0.03
0.58;-0.28;0.73;-5.02;-418.84;-17.12;-7.51;-91.58;-0.43
0.81;-0.13;0.52;8.48;-306.05;18.19;-7.25;-98.88;0.06
0.79;-0.10;0.52;-53.79;-262.93;-12.18;-8.83;-105.92;-0.32
0.93;-0.07;0.66;-69.40;-99.12;-13.55;-10.48;-107.37;-0.67
1.23;-0.12;0.88;-87.96;-193.45;-19.72;-12.66;-111.36;-1.20
1.06;-0.16;0.71;-23.98;-172.17;-28.07;-13.17;-114.87;-1.99
0.74;-0.07;0.60;61.18;-62.72;-52.04;-11.40;-115.13;-3.34
0.76;-0.05;0.34;60.88;-53.79;-17.15;-9.56;-115.57;-3.82
0.82;-0.04;0.31;13.03;52.91;-6.59;-9.07;-113.25;-4.00
0.90;-0.10;0.53;-2.98;108.67;-7.72;-9.05;-109.11;-4.21
0.98;-0.12;0.51;14.01;149.30;-13.25;-8.59;-104.11;-4.57
0.95;-0.06;0.42;10.98;255.95;-39.02;-8.15;-95.76;-5.74
1.07;-0.15;0.51;-9.41;383.28;-69.81;-8.35;-84.50;-7.69
1.05;-0.16;0.71;-7.53;345.43;-100.07;-8.49;-74.67;-10.40
0.55;-0.01;0.59;11.87;424.88;-110.83;-8.01;-62.79;-13.39
0.45;0.13;0.92;-113.57;474.91;-17.28;-10.75;-49.44;-13.86
0.56;-0.07;0.92;-122.13;304.21;-10.47;-13.94;-40.69;-14.15
0.10;0.04;0.89;-47.96;360.23;47.90;-14.83;-30.82;-12.90
0.45;-0.18;1.45;-77.73;303.13;99.46;-16.78;-22.20;-10.12
0.49;-0.14;1.16;4.01;125.81;9.18;-16.44;-18.83;-9.87
-0.00;0.02;0.51;5.84;320.72;64.26;-15.89;-9.02;-7.94
