ACCX;ACCY;ACCZ;GYROX;GYROY;GYROZ;ANGLX;ANGLY;ANGLZ
0.03;-0.02;1.15;0.08;-0.08;0.24;0.57;-0.62;1.76
0.03;-0.02;1.16;0.27;-0.07;-0.11;0.54;-0.64;1.76
0.02;-0.03;1.15;-0.16;0.04;-0.17;0.51;-0.64;1.75
0.03;-0.02;1.15;-0.09;0.04;0.04;0.47;-0.65;1.75
0.03;-0.02;1.15;0.07;-0.11;-0.13;0.44;-0.67;1.75
0.03;-0.02;1.14;-0.06;0.06;-0.25;0.41;-0.69;1.74
0.03;-0.02;1.15;-0.16;-0.14;0.33;0.38;-0.70;1.75
0.03;-0.03;1.15;-0.27;0.16;-0.22;0.34;-0.71;1.75
0.03;-0.03;1.14;-0.06;-0.14;0.15;0.31;-0.73;1.75
0.03;-0.02;1.15;0.10;0.09;0.06;0.28;-0.74;1.75
0.02;-0.02;1.14;0.19;-0.01;-0.17;0.26;-0.75;1.75
0.02;-0.02;1.14;-0.15;-0.04;0.21;0.23;-0.76;1.75
0.02;-0.02;1.15;0.08;-0.30;0.04;0.21;-0.77;1.75
0.03;-0.03;1.15;-0.07;0.28;0.13;0.18;-0.77;1.76
0.03;-0.03;1.15;-0.21;0.01;0.04;0.15;-0.78;1.76
0.03;-0.02;1.15;-0.02;-0.37;0.28;0.12;-0.80;1.76
0.03;-0.02;1.16;-0.19;0.12;0.03;0.10;-0.81;1.76
0.02;-0.02;1.14;-0.15;0.18;-0.13;0.07;-0.81;1.76
0.02;-0.02;1.15;-0.27;0.01;0.03;0.04;-0.82;1.76
0.03;-0.02;1.15;0.22;-0.01;-0.23;0.03;-0.83;1.76
0.03;-0.02;1.14;-0.35;-0.11;-0.14;-0.01;-0.85;1.75
0.03;-0.02;1.15;0.08;-0.04;0.09;-0.02;-0.85;1.75
0.02;-0.03;1.14;0.02;0.21;-0.23;-0.04;-0.85;1.75
0.03;-0.02;1.15;0.19;0.01;-0.07;-0.06;-0.87;1.75
0.03;-0.02;1.14;-0.06;0.07;0.06;-0.08;-0.88;1.75
0.03;-0.02;1.15;-0.10;0.16;-0.16;-0.10;-0.88;1.74
